player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Joe Pace,Center,Right,82,220,Coppin State University,1976,31,2,64.0,no_current_team,79.0,,7.1,3.2,1.2,2.5,0.467,,,,1.2,2.5,0.467,0.467,0.9,1.5,0.598,0.8,1.3,2.1,0.3,0.2,0.5,0.9,1.5,0,14.3,1.1,not_listed,not_listed,WSB
Zaza Pachulia,Center,Right,83,270,no_college,2003,42,14,33.0,Golden State Warriors,961.0,456.0,21.2,7.0,2.5,5.3,0.465,0.0,0.0,0.0,2.5,5.3,0.468,0.465,2.1,2.8,0.748,2.3,3.7,6.0,1.3,0.7,0.4,1.4,2.6,0,14.5,47.1,2898000.0,2016,GSW
Robert Pack,Point Guard,Right,74,180,University of Southern California,not_drafted,not_drafted,15,48.0,no_current_team,552.0,157.0,20.8,8.9,3.2,7.4,0.425,0.2,0.7,0.292,2.9,6.7,0.439,0.439,2.4,3.1,0.787,0.5,1.5,2.0,4.6,1.1,0.1,2.4,1.9,0,15.0,14.4,965610.0,2003,NJN
Wayne Pack,Point Guard,Right,72,165,Tennessee Technological University,not_drafted,not_drafted,2,67.0,no_current_team,21.0,,9.0,2.9,1.1,2.9,0.383,0.2,0.8,0.294,0.9,2.0,0.419,0.425,0.5,0.6,0.833,0.3,0.6,1.0,0.6,0.3,0.0,0.6,1.0,0,7.3,0.1,not_listed,not_listed,ABA
Gerald Paddio,Small Forward,Right,79,205,"University of Nevada, Las Vegas",1988,74,6,52.0,no_current_team,129.0,26.0,12.6,5.5,2.4,5.6,0.421,0.1,0.3,0.242,2.3,5.4,0.429,0.426,0.8,1.0,0.746,0.5,1.0,1.4,1.0,0.3,0.1,0.7,0.8,0,10.6,0.1,190000.0,1992,WSB
Scott Padgett,Power Forward,Right,81,240,University of Kentucky,1999,28,10,41.0,no_current_team,448.0,18.0,12.5,4.2,1.5,3.7,0.41,0.5,1.4,0.373,1.0,2.3,0.433,0.482,0.6,0.8,0.736,0.9,1.8,2.7,0.7,0.4,0.2,0.6,1.5,0,12.9,13.2,2563302.0,2006,MEM
Dana Pagett,Guard,Right,74,180,University of Southern California,1971,178,2,68.0,no_current_team,5.0,,6.8,1.0,0.2,1.8,0.111,0.2,0.6,0.333,0.0,1.2,0.0,0.167,0.4,0.6,0.667,0.2,0.4,0.6,1.2,,,0.6,1.6,0,-2.9,-0.1,not_listed,not_listed,ABA
Fred Paine,Forward,Right,77,210,Westminster College of Pennsylvania,not_drafted,not_drafted,2,92.0,no_current_team,3.0,,,2.3,1.0,6.3,0.158,,,,1.0,6.3,0.158,0.158,0.3,1.7,0.2,,,,0.3,,,,1.0,0,,-0.3,not_listed,not_listed,BAA
Milt Palacio,Point Guard and Shooting Guard,Right,75,195,Colorado State University,not_drafted,not_drafted,9,39.0,no_current_team,470.0,88.0,17.9,4.8,1.8,4.4,0.419,0.1,0.4,0.235,1.8,4.0,0.435,0.429,1.0,1.4,0.719,0.3,1.4,1.8,2.5,0.6,0.1,1.3,1.5,0,9.9,3.9,1400000.0,2005,UTA
Togo Palazzi,Small Forward and Shooting Guard,Right,76,205,College of the Holy Cross,1954,5,8,85.0,no_current_team,324.0,,13.4,7.4,2.9,7.5,0.386,,,,2.9,7.5,0.386,0.386,1.6,2.1,0.73,,,3.4,0.7,,,,1.8,0,15.2,6.5,not_listed,not_listed,SYR
Bud Palmer,Forward/Center,Right,76,180,Princeton University,not_drafted,not_drafted,6,96.0,no_current_team,148.0,,,11.7,4.2,12.9,0.326,,,,4.2,12.9,0.326,0.326,3.3,4.5,0.739,,,,1.3,,,,3.1,0,,18.5,not_listed,not_listed,BAA
Errol Palmer,Small Forward,Right,77,195,DePaul University,not_drafted,not_drafted,2,,no_current_team,63.0,,18.9,7.9,2.6,7.2,0.364,0.0,0.0,,2.6,7.2,0.364,0.364,2.7,4.0,0.672,,,7.5,1.4,,,1.2,2.7,0,17.2,4.2,not_listed,not_listed,ABA
Jim Palmer,Center,Right,80,224,University of Dayton,1957,12,5,84.0,no_current_team,196.0,,19.4,8.1,3.2,7.7,0.413,,,,3.2,7.7,0.413,0.413,1.7,2.5,0.703,,,5.3,0.8,,,,2.9,0,12.2,4.5,not_listed,not_listed,NYK
Walter Palmer,Center,Right,85,215,Dartmouth College,1990,33,2,49.0,no_current_team,48.0,0.0,4.4,2.1,0.9,2.1,0.412,0.0,0.0,0.0,0.9,2.1,0.416,0.412,0.3,0.5,0.667,0.4,1.0,1.4,0.2,0.1,0.2,0.3,1.0,0,11.0,-0.1,140000.0,1992,DAL
Andy Panko,Small Forward,Right,81,222,Lebanon Valley College,not_drafted,not_drafted,1,40.0,no_current_team,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5000.0,1999,ATL
Georgios Papagiannis,Center,Right,85,240,no_college,2016,13,1,20.0,Sacramento Kings,22.0,0.0,16.1,5.6,2.5,4.6,0.549,0.0,0.1,0.0,2.5,4.5,0.56,0.549,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,0,12.7,0.4,2202240.0,2016,SAC
Kostas Papanikolaou,Small Forward,Left,80,225,no_college,2012,48,2,27.0,no_current_team,69.0,7.0,15.8,3.6,1.3,3.8,0.354,0.6,2.0,0.297,0.8,1.8,0.416,0.432,0.3,0.5,0.688,0.7,1.6,2.3,1.5,0.6,0.3,1.1,1.4,0,7.3,0.3,350000.0,2015,DEN
Jannero Pargo,Shooting Guard and Point Guard,Right,73,175,University of Arkansas,not_drafted,not_drafted,17,38.0,no_current_team,499.0,18.0,14.9,6.4,2.5,6.3,0.391,0.8,2.3,0.356,1.7,4.0,0.411,0.455,0.6,0.7,0.864,0.2,1.2,1.4,2.0,0.5,0.1,1.1,1.3,0,11.8,4.9,1448490.0,2014,CHO
Jeremy Pargo,Shooting Guard and Point Guard,Right,74,219,Gonzaga University,not_drafted,not_drafted,4,31.0,no_current_team,83.0,16.0,13.0,4.7,1.8,4.8,0.373,0.4,1.3,0.313,1.4,3.5,0.396,0.416,0.7,1.1,0.652,0.2,0.8,1.0,1.8,0.3,0.0,1.2,1.1,0,8.1,-0.8,7443867.0,2012,PHI
Robert Parish,Center,Right,84,230,Centenary College of Louisiana,1976,,21,64.0,no_current_team,1611.0,1134.0,28.4,14.5,6.0,11.1,0.537,0.0,0.0,0.0,6.0,11.1,0.537,0.537,2.5,3.5,0.721,2.9,6.3,9.1,1.4,0.8,1.5,2.1,2.8,1,19.2,147.0,1150000.0,1997,CHI
Med Park,Shooting Guard and Small Forward,Right,74,205,University of Missouri,not_drafted,not_drafted,7,84.0,no_current_team,313.0,,18.0,6.1,2.2,5.7,0.379,,,,2.2,5.7,0.379,0.379,1.8,2.5,0.728,,,3.1,1.7,,,,1.9,0,11.3,7.5,not_listed,not_listed,CIN
Anthony Parker,Shooting Guard and Small Forward,Right,78,215,Bradley University,1997,21,9,42.0,no_current_team,494.0,423.0,27.8,9.1,3.4,7.6,0.444,1.2,3.0,0.404,2.2,4.6,0.469,0.523,1.1,1.4,0.794,0.5,2.7,3.2,2.3,0.9,0.2,1.0,1.6,0,12.2,24.5,2250000.0,2011,CLE
Jabari Parker,Power Forward,Right,80,250,Duke University,2014,2,3,22.0,Milwaukee Bucks,152.0,147.0,32.1,15.8,6.4,13.0,0.491,0.5,1.5,0.341,5.9,11.5,0.511,0.511,2.5,3.4,0.748,1.7,3.9,5.6,2.1,1.0,0.4,1.7,2.0,0,16.3,9.0,5374320.0,2016,MIL
Smush Parker,Point Guard,Right,76,190,Fordham University,not_drafted,not_drafted,9,36.0,no_current_team,274.0,183.0,25.8,9.0,3.3,7.8,0.426,1.1,3.1,0.345,2.3,4.7,0.479,0.494,1.3,1.9,0.708,0.4,2.0,2.4,2.9,1.2,0.2,1.8,2.2,0,11.7,7.4,1660000.0,2008,LAC
Sonny Parker,Small Forward and Shooting Guard,Right,78,200,Texas A&M University,1976,17,6,62.0,no_current_team,452.0,0.0,24.2,9.9,4.1,8.2,0.501,0.0,0.0,0.0,4.1,8.2,0.501,0.501,1.7,2.2,0.755,1.7,2.4,4.1,2.1,1.4,0.3,1.6,1.9,0,15.6,26.9,not_listed,not_listed,GSW
Tony Parker,Point Guard,Right,74,185,no_college,2001,28,16,35.0,San Antonio Spurs,1143.0,1130.0,31.7,16.2,6.5,13.1,0.493,0.4,1.3,0.327,6.0,11.8,0.512,0.51,2.8,3.8,0.753,0.4,2.4,2.8,5.8,0.9,0.1,2.4,1.7,1,18.5,109.0,14445313.0,2016,SAS
Barry Parkhill,Shooting Guard,Right,76,185,University of Virginia,1973,15,6,66.0,no_current_team,173.0,,18.0,5.6,2.4,6.1,0.399,0.0,0.2,0.114,2.4,5.9,0.409,0.401,0.8,1.0,0.769,0.2,1.1,1.3,2.2,0.5,0.2,1.6,2.5,0,6.2,-2.9,not_listed,not_listed,ABA
Charles Parks,Forward,Right,77,210,Idaho State University,not_drafted,not_drafted,2,,no_current_team,2.0,,2.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.5,0,-10.8,0.0,not_listed,not_listed,ABA
Cherokee Parks,Power Forward and Center,Right,83,235,Duke University,1995,12,11,45.0,no_current_team,472.0,151.0,15.8,4.4,1.8,3.9,0.47,0.0,0.1,0.211,1.8,3.8,0.475,0.472,0.7,1.0,0.63,1.2,2.4,3.6,0.6,0.4,0.6,0.6,2.0,0,12.0,11.8,6228946.0,2003,GSW
Richard Parks,Small Forward,Right,79,235,Saint Louis University,1966,47,2,74.0,no_current_team,40.0,,9.4,3.3,1.5,3.3,0.444,0.0,0.1,0.333,1.5,3.3,0.446,0.447,0.3,0.5,0.571,,,2.9,0.4,,,0.5,1.7,0,11.4,0.5,not_listed,not_listed,ABA
Jack Parr,Center,Right,81,220,Kansas State University,1958,70,1,81.0,no_current_team,66.0,,15.7,4.0,1.7,4.7,0.355,,,,1.7,4.7,0.355,0.355,0.7,1.1,0.603,,,4.2,0.8,,,,2.1,0,7.9,-0.3,not_listed,not_listed,CIN
Doyle Parrack,Forward/Guard,Right,72,165,Oklahoma State University,not_drafted,not_drafted,2,96.0,no_current_team,58.0,,,4.7,1.9,7.1,0.266,,,,1.9,7.1,0.266,0.266,0.9,1.4,0.65,,,,0.3,,,,1.3,0,,1.1,not_listed,not_listed,BAA
Charlie Parsley,Guard,Right,74,175,Western Kentucky University,not_drafted,not_drafted,1,92.0,no_current_team,9.0,,,2.4,0.9,3.4,0.258,,,,0.9,3.4,0.258,0.258,0.7,0.8,0.857,,,,0.9,,,,0.8,0,,0.0,not_listed,not_listed,PHW
Chandler Parsons,Small Forward,Right,82,230,University of Florida,2011,38,6,29.0,Memphis Grizzlies,374.0,358.0,32.1,13.6,5.2,11.2,0.466,1.6,4.3,0.373,3.6,6.9,0.525,0.539,1.6,2.2,0.711,0.9,3.9,4.8,2.9,1.0,0.4,1.6,2.0,0,15.0,28.0,22116750.0,2016,MEM
Marty Passaglia,Guard,Right,73,170,Santa Clara University,not_drafted,not_drafted,4,98.0,no_current_team,53.0,,,2.8,1.2,5.2,0.234,,,,1.2,5.2,0.234,0.234,0.4,0.7,0.583,,,,0.5,,,,1.2,0,,-0.1,not_listed,not_listed,BAA
George Pastushok,Guard,Right,73,195,St. John's University,not_drafted,not_drafted,2,95.0,no_current_team,39.0,,,3.1,1.2,4.7,0.262,,,,1.2,4.7,0.262,0.262,0.6,1.2,0.543,,,,0.4,,,,1.1,0,,0.0,not_listed,not_listed,BAA
Myles Patrick,Small Forward,Right,80,220,Auburn University,not_drafted,not_drafted,1,63.0,no_current_team,3.0,,3.0,1.7,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.3,0.7,0.5,0.3,0.3,0.7,0.3,0.0,0.0,0.3,1.0,0,6.9,0.0,not_listed,not_listed,LAL
Stan Patrick,Forward/Guard,Right,74,185,University of Illinois at Urbana-Champaign,not_drafted,not_drafted,3,95.0,no_current_team,53.0,,,6.1,2.2,5.5,0.395,,,,2.2,5.5,0.395,0.395,1.7,2.8,0.605,,,,1.4,,,,1.4,0,,1.6,not_listed,not_listed,SHE
Andrae Patterson,Power Forward,Right,81,238,Indiana University,1998,46,2,42.0,no_current_team,40.0,0.0,7.6,3.0,1.2,2.5,0.455,0.0,0.1,0.0,1.2,2.4,0.479,0.455,0.7,0.9,0.778,0.8,0.9,1.7,0.4,0.5,0.2,0.6,1.7,0,14.3,0.7,498500.0,2000,MIN
George Patterson,Center,Right,80,230,University of Toledo,1961,100,1,78.0,no_current_team,59.0,,9.5,2.0,0.7,2.3,0.331,,,,0.7,2.3,0.331,0.331,0.5,0.6,0.842,,,2.7,0.9,,,,1.4,0,7.9,0.1,not_listed,not_listed,DET
Lamar Patterson,Shooting Guard,Right,77,225,University of Pittsburgh,2014,48,2,26.0,no_current_team,40.0,0.0,10.9,2.3,0.8,2.4,0.326,0.3,1.4,0.236,0.5,1.0,0.45,0.395,0.5,0.6,0.72,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,0,4.4,0.1,100000.0,2016,ATL
Patrick Patterson,Power Forward,Right,81,230,University of Kentucky,2010,14,11,28.0,Oklahoma City Thunder,477.0,73.0,24.0,7.9,3.2,6.9,0.459,0.9,2.3,0.368,2.3,4.6,0.506,0.521,0.6,0.9,0.744,1.5,3.2,4.7,1.2,0.6,0.5,0.8,1.9,0,13.2,25.0,6050000.0,2016,TOR
Ruben Patterson,Shooting Guard and Small Forward,Right,77,224,University of Cincinnati,1998,31,12,42.0,no_current_team,649.0,245.0,24.6,10.7,4.1,8.0,0.517,0.1,0.3,0.179,4.1,7.7,0.53,0.52,2.4,3.8,0.641,2.0,2.2,4.2,1.8,1.2,0.4,1.8,2.2,0,17.1,35.1,7304897.0,2007,LAC
Steve Patterson,Center,Right,81,225,"University of California, Los Angeles",1971,18,7,69.0,no_current_team,350.0,,15.9,4.4,1.9,4.8,0.403,,,,1.9,4.8,0.403,0.403,0.6,1.0,0.594,1.9,3.4,4.7,1.3,0.4,0.4,,1.6,0,11.2,4.8,not_listed,not_listed,CHI
Tom Patterson,Small Forward and Power Forward,Right,78,220,Ouachita Baptist University,1972,25,2,69.0,no_current_team,25.0,,4.0,2.2,0.8,2.0,0.42,,,,0.8,2.0,0.42,0.42,0.6,0.7,0.778,0.5,0.5,1.0,0.2,0.0,0.0,,0.7,0,15.1,0.2,not_listed,not_listed,CAP
Worthy Patterson,Guard,Right,74,175,University of Connecticut,not_drafted,not_drafted,1,86.0,no_current_team,4.0,,3.3,1.8,0.8,2.0,0.375,,,,0.8,2.0,0.375,0.375,0.3,0.5,0.5,,,0.5,0.5,,,,0.8,0,11.0,0.0,not_listed,not_listed,STL
Chris Paul,Point Guard,Right,72,175,Wake Forest University,2005,4,12,32.0,Houston Rockets,834.0,834.0,35.5,18.7,6.6,13.9,0.473,1.2,3.2,0.37,5.4,10.7,0.504,0.516,4.3,5.0,0.866,0.7,3.7,4.4,9.9,2.3,0.1,2.4,2.5,1,25.7,154.6,21468696.0,2015,LAC
Charlie Paulk,Power Forward,Right,80,219,Northeastern State University,1968,7,5,71.0,no_current_team,120.0,,13.7,6.2,2.6,6.7,0.392,,,,2.6,6.7,0.392,0.392,0.9,1.5,0.611,,,3.9,0.3,,,,2.0,0,9.8,-0.9,not_listed,not_listed,NYK
Jerry Paulson,Guard,Right,74,185,Manhattan College,1957,17,1,82.0,no_current_team,6.0,,11.3,3.3,1.3,3.8,0.348,,,,1.3,3.8,0.348,0.348,0.7,1.0,0.667,,,1.7,0.7,,,,0.8,0,7.9,0.0,not_listed,not_listed,CIN
Billy Paultz,Center and Power Forward,Right,83,235,St. John's University,1970,103,25,69.0,no_current_team,487.0,,34.4,15.7,6.5,12.9,0.502,0.0,0.0,0.0,6.5,12.9,0.503,0.502,2.8,3.9,0.724,2.8,8.3,11.1,2.4,0.8,2.3,2.4,3.2,1,16.3,70.4,not_listed,not_listed,UTA
Sasha Pavlovic,Small Forward and Shooting Guard,Right,80,220,no_college,2003,19,13,34.0,no_current_team,567.0,142.0,15.7,4.9,1.9,4.7,0.404,0.5,1.6,0.346,1.3,3.1,0.433,0.462,0.6,0.9,0.673,0.3,1.4,1.8,0.9,0.5,0.2,0.8,1.8,0,8.3,7.0,1232713.0,2012,POR
Jim Paxson,Small Forward and Shooting Guard,Right,78,200,University of Dayton,1956,3,2,85.0,no_current_team,138.0,,22.2,8.0,2.6,8.1,0.323,,,,2.6,8.1,0.323,0.323,2.7,3.8,0.727,,,4.5,1.6,,,,2.5,0,10.6,2.8,not_listed,not_listed,CIN
Jim Paxson,Point Guard and Shooting Guard,Right,78,200,University of Dayton,1979,12,13,60.0,no_current_team,784.0,368.0,27.2,14.3,5.8,11.6,0.498,0.1,0.6,0.225,5.7,11.1,0.511,0.503,2.6,3.2,0.807,0.7,1.4,2.0,2.9,1.2,0.1,1.5,1.8,1,16.1,53.7,225000.0,1991,BOS
John Paxson,Point Guard,Right,74,185,University of Notre Dame,1983,19,11,57.0,no_current_team,772.0,369.0,22.4,7.2,3.1,6.2,0.499,0.4,1.0,0.355,2.8,5.2,0.527,0.528,0.6,0.8,0.804,0.2,1.0,1.2,3.6,0.7,0.1,0.8,1.9,0,12.0,36.3,800000.0,1993,CHI
