player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Zarko Cabarkapa,Power Forward,Right,83,235,no_college,2003,17,5,36.0,no_current_team,150.0,4.0,10.3,4.3,1.6,3.7,0.427,0.2,0.6,0.273,1.4,3.1,0.457,0.449,1.0,1.3,0.733,0.7,1.4,2.1,0.6,0.2,0.2,0.8,1.5,0,11.5,1.1,2157097.0,2006,GSW
Barney Cable,Small Forward and Power Forward,Right,79,175,Bradley University,1958,10,12,82.0,no_current_team,362.0,,18.8,6.6,2.8,6.7,0.42,,,,2.8,6.7,0.42,0.42,1.0,1.4,0.665,,,5.2,1.1,,,,2.4,0,10.6,6.5,not_listed,not_listed,BAL
Bruno Caboclo,Small Forward,Right,81,218,no_college,2014,20,3,22.0,Toronto Raptors,23.0,1.0,4.6,1.2,0.5,1.7,0.275,0.2,0.7,0.313,0.3,1.0,0.25,0.338,0.0,0.0,,0.3,0.3,0.6,0.2,0.2,0.1,0.4,0.4,0,2.0,-0.3,1589640.0,2016,TOR
Jason Caffey,Power Forward,Right,80,255,University of Alabama,1995,20,10,44.0,no_current_team,462.0,170.0,19.6,7.3,2.8,5.7,0.481,0.0,0.0,0.0,2.8,5.7,0.483,0.481,1.8,2.8,0.637,1.8,2.6,4.4,0.9,0.5,0.2,1.4,2.5,0,12.5,13.5,4148148.0,2004,MIL
Michael Cage,Center and Power Forward,Left,81,224,San Diego State University,1984,14,15,55.0,no_current_team,1140.0,733.0,26.1,7.3,2.9,5.7,0.515,0.0,0.0,0.0,2.9,5.6,0.517,0.515,1.4,2.2,0.664,2.8,4.8,7.6,0.9,0.9,0.6,1.0,2.3,0,13.9,74.4,510000.0,1999,NJN
Gerry Calabrese,Shooting Guard,Right,73,175,St. John's University,1950,1950,2,92.0,no_current_team,104.0,,16.2,4.7,1.7,4.9,0.348,,,,1.7,4.9,0.348,0.348,1.3,1.8,0.702,,,1.4,1.4,,,,1.8,0,9.4,1.9,not_listed,not_listed,SYR
Nick Calathes,Shooting Guard,Right,78,213,University of Florida,2009,45,2,28.0,no_current_team,129.0,7.0,15.6,4.6,1.9,4.3,0.441,0.2,0.8,0.288,1.7,3.5,0.476,0.468,0.5,0.9,0.581,0.3,1.6,1.9,2.7,1.0,0.1,1.3,1.7,0,12.3,2.6,2816482.0,2014,MEM
Jose Calderon,Point Guard and Shooting Guard,Right,75,200,no_college,not_drafted,not_drafted,16,36.0,Cleveland Cavaliers,789.0,559.0,28.0,9.6,3.7,7.8,0.473,1.1,2.7,0.409,2.6,5.1,0.506,0.543,1.1,1.3,0.875,0.4,2.2,2.5,6.2,0.9,0.1,1.6,1.7,0,16.2,56.0,8392478.0,2016,ATL
Adrian Caldwell,Power Forward,Left,80,265,Lamar University,not_drafted,not_drafted,8,51.0,no_current_team,197.0,1.0,8.1,2.0,0.8,1.7,0.485,0.0,0.0,0.0,0.8,1.7,0.49,0.485,0.3,0.7,0.453,0.9,1.6,2.5,0.2,0.3,0.2,0.6,1.4,0,8.7,1.1,50000.0,1999,DAL
Jim Caldwell,Center,Right,82,240,Georgia Institute of Technology,1965,25,11,74.0,no_current_team,2.0,,3.5,0.0,0.0,0.5,0.0,,,,0.0,0.5,0.0,0.0,0.0,0.0,,,,0.5,0.5,,,,0.5,0,13.2,5.7,not_listed,not_listed,ABA
Joe Caldwell,Shooting Guard and Small Forward,Right,77,195,Arizona State University,1964,2,18,76.0,no_current_team,314.0,,36.3,17.5,7.4,15.7,0.475,0.1,0.3,0.225,7.4,15.4,0.479,0.477,2.5,5.1,0.497,2.5,3.1,5.6,4.4,2.1,0.4,3.1,3.3,1,14.7,37.8,not_listed,not_listed,ABA
Kentavious Caldwell-Pope,Shooting Guard,Right,77,205,University of Georgia,2013,8,4,24.0,Los Angeles Lakers,314.0,274.0,30.2,11.7,4.3,10.6,0.405,1.5,4.6,0.334,2.8,6.0,0.459,0.477,1.6,2.0,0.785,0.7,2.3,3.0,1.6,1.2,0.2,1.0,1.9,0,11.7,14.5,3678319.0,2016,DET
Bill Calhoun,Shooting Guard and Small Forward,Right,75,180,City College of San Francisco,not_drafted,not_drafted,10,90.0,no_current_team,56.0,,,6.6,2.6,7.3,0.358,,,,2.6,7.3,0.358,0.358,1.3,2.3,0.573,,,,2.2,,,,1.7,0,11.1,18.5,not_listed,not_listed,MLH
Corky Calhoun,Small Forward,Right,79,210,University of Pennsylvania,1972,4,10,67.0,no_current_team,542.0,,20.1,5.3,2.2,4.8,0.46,0.0,0.0,,2.2,4.8,0.46,0.46,0.9,1.2,0.782,1.1,2.4,3.6,1.1,0.6,0.3,0.7,2.4,0,9.3,14.4,not_listed,not_listed,IND
Demetrius Calip,Point Guard,Right,73,165,University of Michigan,not_drafted,not_drafted,1,48.0,no_current_team,7.0,0.0,8.3,1.6,0.6,2.6,0.222,0.1,0.7,0.2,0.4,1.9,0.231,0.25,0.3,0.4,0.667,0.1,0.6,0.7,1.7,0.1,0.0,0.7,1.1,0,1.8,-0.2,not_listed,not_listed,LAL
Tom Callahan,Guard,Right,73,180,Rockhurst University,not_drafted,not_drafted,2,96.0,no_current_team,13.0,,,1.3,0.5,2.2,0.207,,,,0.5,2.2,0.207,0.207,0.4,0.9,0.417,,,,0.3,,,,0.7,0,,-0.1,not_listed,not_listed,BAA
Rick Calloway,Shooting Guard,Right,78,180,University of Kansas,not_drafted,not_drafted,1,51.0,no_current_team,64.0,0.0,10.6,3.2,1.2,3.0,0.391,0.0,0.0,0.0,1.2,3.0,0.395,0.391,0.9,1.2,0.696,0.4,0.8,1.2,1.0,0.3,0.1,0.8,1.5,0,6.6,-0.3,125000.0,1990,SAC
Ernie Calverley,Guard,Right,70,145,University of Rhode Island,not_drafted,not_drafted,6,93.0,no_current_team,165.0,,,11.9,4.6,16.0,0.291,,,,4.6,16.0,0.291,0.291,2.6,3.7,0.707,,,,3.5,,,,3.3,0,,5.8,not_listed,not_listed,BAA
Mack Calvin,Point Guard,Right,72,165,University of Southern California,1969,187,21,70.0,no_current_team,222.0,,15.0,7.0,2.2,5.1,0.42,0.0,0.2,0.125,2.2,5.1,0.424,0.421,2.7,3.1,0.848,0.3,1.0,1.2,2.5,0.6,0.0,1.2,1.3,1,17.4,60.4,not_listed,not_listed,CLE
Dexter Cambridge,Small Forward,Right,79,224,University of Texas at Austin,not_drafted,not_drafted,1,47.0,no_current_team,53.0,13.0,16.7,7.0,2.8,5.9,0.484,0.0,0.1,0.0,2.8,5.8,0.49,0.484,1.3,1.9,0.687,1.7,1.5,3.2,1.1,0.5,0.1,1.2,2.4,0,12.1,0.4,150000.0,1992,DAL
Marcus Camby,Power Forward and Center,Right,83,220,University of Massachusetts Amherst,1996,2,21,43.0,no_current_team,973.0,786.0,29.5,9.5,3.9,8.3,0.466,0.0,0.1,0.205,3.9,8.2,0.469,0.468,1.8,2.6,0.67,2.7,7.1,9.8,1.9,1.0,2.4,1.4,2.8,0,17.8,81.6,9646609.0,2014,NYK
Elden Campbell,Center and Power Forward,Right,83,215,Clemson University,1990,27,21,49.0,no_current_team,1044.0,671.0,24.7,10.3,3.9,8.5,0.46,0.0,0.0,0.054,3.9,8.4,0.461,0.46,2.6,3.7,0.699,1.8,4.1,5.9,1.1,0.7,1.5,1.3,2.9,0,15.9,62.8,4400000.0,2004,DET
Tony Campbell,Shooting Guard and Small Forward,Right,79,215,Ohio State University,1984,20,13,55.0,no_current_team,690.0,224.0,22.0,11.6,4.6,10.1,0.456,0.1,0.4,0.254,4.5,9.7,0.463,0.46,2.3,2.9,0.79,1.3,1.7,3.1,1.5,0.8,0.2,1.6,2.2,0,14.5,20.7,650000.0,1994,CLE
Isaiah Canaan,Point Guard and Shooting Guard,Right,72,201,Murray State University,2013,34,6,26.0,no_current_team,185.0,60.0,20.3,8.4,2.7,7.4,0.368,1.7,4.8,0.352,1.0,2.6,0.396,0.482,1.4,1.6,0.828,0.3,1.5,1.8,1.6,0.6,0.1,1.1,1.5,0,10.8,3.5,1015696.0,2016,CHI
Larry Cannon,Shooting Guard,Right,76,195,La Salle University,1969,5,15,70.0,no_current_team,19.0,,17.6,6.2,2.6,6.7,0.386,,,,2.6,6.7,0.386,0.386,1.0,1.5,0.679,0.8,1.1,1.9,2.7,0.4,0.2,,2.5,0,14.8,7.1,not_listed,not_listed,PHI
Clint Capela,Center,Right,82,240,no_college,2014,25,3,23.0,Houston Rockets,154.0,94.0,20.2,9.0,3.9,6.4,0.614,0.0,0.0,0.0,3.9,6.4,0.614,0.614,1.2,2.7,0.433,2.5,4.4,6.9,0.7,0.6,1.2,1.0,2.5,0,19.6,10.4,1296240.0,2016,HOU
Derrick Caracter,Center,Right,81,275,University of Texas at El Paso,2010,58,1,29.0,no_current_team,41.0,0.0,5.2,2.0,0.8,1.6,0.485,0.0,0.0,,0.8,1.6,0.485,0.485,0.4,0.6,0.739,0.5,0.6,1.0,0.2,0.1,0.2,0.5,1.1,0,10.0,0.3,7270427.0,2011,LAL
Frank Card,Power Forward and Small Forward,Right,79,195,South Carolina State University,1967,77,18,73.0,no_current_team,306.0,,22.6,9.5,3.6,7.9,0.461,0.0,0.1,0.176,3.6,7.9,0.463,0.461,2.2,3.4,0.632,2.0,3.7,5.6,1.2,,,1.8,2.6,0,12.3,11.1,not_listed,not_listed,ABA
Brian Cardinal,Small Forward and Power Forward,Right,80,245,Purdue University,2000,44,12,40.0,no_current_team,456.0,37.0,14.2,4.6,1.5,3.6,0.408,0.5,1.4,0.372,0.9,2.1,0.432,0.482,1.2,1.4,0.861,0.6,1.7,2.3,1.0,0.6,0.2,0.7,2.0,0,12.7,15.4,1352181.0,2011,DAL
Howie Carl,Point Guard,Right,69,160,DePaul University,1961,50,1,79.0,no_current_team,31.0,,12.3,5.5,2.2,6.5,0.333,,,,2.2,6.5,0.333,0.333,1.2,1.6,0.706,,,1.3,1.8,,,,1.3,0,9.4,-0.5,not_listed,not_listed,CHP
Chet Carlisle,Forward/Center,Right,77,195,University of California,not_drafted,not_drafted,2,101.0,no_current_team,51.0,,,5.0,2.0,7.3,0.268,,,,2.0,7.3,0.268,0.268,1.1,1.8,0.609,,,,0.3,,,,2.7,0,,1.6,not_listed,not_listed,BAA
Geno Carlisle,Shooting Guard,Right,75,180,University of California,not_drafted,not_drafted,1,41.0,no_current_team,6.0,0.0,2.7,1.3,0.3,0.5,0.667,0.0,0.0,,0.3,0.5,0.667,0.667,0.7,1.0,0.667,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0,18.1,0.1,7965779.0,2004,POR
Rick Carlisle,Shooting Guard,Right,77,210,University of Virginia,1984,70,5,58.0,no_current_team,188.0,1.0,7.8,2.2,0.9,2.2,0.422,0.1,0.3,0.229,0.9,2.0,0.447,0.435,0.3,0.4,0.775,0.2,0.5,0.8,1.1,0.2,0.0,0.6,1.0,0,7.0,0.5,125000.0,1988,NJN
Don Carlos,Shooting Guard,Right,77,210,Otterbein College,1967,83,2,73.0,no_current_team,56.0,,27.3,11.2,3.7,9.0,0.41,0.0,0.1,0.0,3.7,9.0,0.412,0.41,3.8,5.1,0.756,2.2,2.8,5.0,2.8,,,2.5,4.1,0,11.9,2.7,not_listed,not_listed,ABA
Al Carlson,Center,Right,83,235,University of Oregon,not_drafted,not_drafted,1,66.0,no_current_team,28.0,,10.0,2.6,1.0,2.8,0.342,,,,1.0,2.8,0.342,0.342,0.6,1.0,0.621,1.1,1.5,2.6,0.5,0.3,0.4,,1.4,0,9.0,0.1,not_listed,not_listed,SEA
Don Carlson,Guard/Forward,Right,72,170,University of Minnesota,not_drafted,not_drafted,6,98.0,no_current_team,66.0,,,4.7,1.8,5.1,0.345,,,,1.8,5.1,0.345,0.345,1.2,1.7,0.694,,,1.7,1.4,,,,2.3,0,,11.3,not_listed,not_listed,BLB
Bob Carney,Shooting Guard,Right,75,170,Bradley University,1954,47,1,85.0,no_current_team,19.0,,12.8,3.6,1.3,3.4,0.375,,,,1.3,3.4,0.375,0.375,1.1,2.1,0.525,,,2.4,0.8,,,,1.9,0,8.7,0.3,not_listed,not_listed,MNL
Rodney Carney,Small Forward and Shooting Guard,Right,79,205,University of Memphis,2006,16,7,33.0,no_current_team,299.0,48.0,15.4,5.9,2.3,5.3,0.422,0.7,2.0,0.338,1.6,3.4,0.471,0.485,0.8,1.1,0.704,0.5,1.4,2.0,0.4,0.5,0.3,0.5,1.4,0,11.9,6.2,6274756.0,2010,MEM
Bob Carpenter,Forward/Center,Left,77,200,East Texas State University,not_drafted,not_drafted,4,100.0,no_current_team,122.0,,,7.7,2.6,7.8,0.337,,,,2.6,7.8,0.337,0.337,2.4,3.1,0.768,,,4.1,1.4,,,,2.3,0,,6.9,not_listed,not_listed,TRI
Antoine Carr,Power Forward and Center and Small Forward,Right,81,225,Wichita State University,1983,8,18,56.0,no_current_team,987.0,168.0,20.0,9.3,3.7,7.4,0.503,0.0,0.0,0.13,3.7,7.3,0.505,0.503,1.9,2.4,0.78,1.2,2.3,3.4,1.1,0.4,0.9,1.2,3.1,0,14.2,42.1,1000000.0,1999,VAN
Austin Carr,Shooting Guard,Right,76,200,University of Notre Dame,1971,1,12,69.0,no_current_team,682.0,,28.8,15.4,6.4,14.2,0.449,0.0,0.1,0.154,6.4,14.2,0.449,0.449,2.6,3.2,0.804,1.3,1.4,2.9,2.8,0.8,0.1,1.6,2.0,1,15.0,32.9,not_listed,not_listed,WSB
Chris Carr,Small Forward and Shooting Guard,Right,77,207,Southern Illinois University,1995,56,10,43.0,no_current_team,297.0,66.0,15.2,6.7,2.5,5.9,0.416,0.5,1.6,0.338,1.9,4.3,0.445,0.462,1.2,1.5,0.807,0.6,1.6,2.2,1.0,0.3,0.2,1.0,1.7,0,11.9,3.9,1200000.0,2000,BOS
Cory Carr,Shooting Guard,Right,75,210,Texas Tech University,1998,49,1,42.0,no_current_team,42.0,7.0,14.9,4.1,1.7,5.1,0.329,0.1,0.7,0.167,1.6,4.4,0.355,0.34,0.6,0.8,0.75,0.2,1.0,1.2,1.6,0.5,0.2,1.1,1.6,0,5.1,-1.2,287500.0,1998,CHI
Kenny Carr,Power Forward,Right,79,220,North Carolina State University,1977,6,14,62.0,no_current_team,674.0,235.0,25.5,11.6,4.5,8.9,0.51,0.0,0.1,0.079,4.5,8.8,0.512,0.51,2.5,3.7,0.684,2.2,5.2,7.4,1.4,0.7,0.4,2.1,3.2,0,14.7,33.6,272250.0,1985,POR
M.L. Carr,Small Forward,Right,78,205,Guilford College,1973,76,11,66.0,no_current_team,74.0,,29.4,12.2,5.1,10.6,0.483,0.1,0.3,0.375,5.0,10.3,0.487,0.489,1.9,2.8,0.665,2.3,3.9,6.2,3.0,1.7,0.6,2.2,3.0,0,14.0,33.5,175000.0,1984,BOS
Darel Carrier,Shooting Guard,Right,75,185,Western Kentucky University,1964,74,12,77.0,no_current_team,350.0,,35.3,20.0,7.0,16.8,0.417,1.1,3.0,0.377,5.8,13.7,0.425,0.451,4.9,5.8,0.851,0.7,2.4,3.4,2.6,,,2.6,3.1,1,15.6,30.6,not_listed,not_listed,ABA
Bob Carrington,Shooting Guard,Right,78,195,Boston College,1976,28,4,64.0,no_current_team,82.0,,21.8,8.2,3.3,7.6,0.428,0.0,0.2,0.0,3.3,7.6,0.429,0.428,1.7,2.2,0.76,0.9,1.4,2.3,1.5,0.8,0.3,1.5,2.7,0,9.4,1.3,not_listed,not_listed,SDC
DeMarre Carroll,Power Forward and Small Forward,Right,80,215,University of Missouri,2009,27,12,31.0,Brooklyn Nets,414.0,258.0,23.0,8.1,3.0,6.7,0.442,1.0,2.7,0.361,2.0,4.0,0.496,0.514,1.2,1.6,0.728,1.1,2.7,3.8,1.1,1.0,0.3,0.7,2.0,0,13.4,22.0,14200000.0,2016,TOR
Joe Barry Carroll,Center,Right,84,225,Purdue University,1980,1,14,59.0,no_current_team,705.0,533.0,32.4,17.7,7.1,15.0,0.474,0.0,0.0,0.0,7.1,15.0,0.475,0.474,3.4,4.6,0.747,2.4,5.3,7.7,1.8,1.0,1.6,2.8,3.1,1,16.4,35.6,925000.0,1991,PHO
Matt Carroll,Shooting Guard,Right,78,212,University of Notre Dame,not_drafted,not_drafted,14,37.0,no_current_team,459.0,84.0,16.5,6.6,2.2,5.4,0.413,0.7,2.0,0.384,1.5,3.5,0.429,0.482,1.3,1.6,0.841,0.3,1.6,1.9,0.7,0.5,0.1,0.6,1.5,0,11.6,10.7,3500000.0,2012,CHA
Jimmy Carruth,Power Forward,Right,82,265,Virginia Polytechnic Institute and State University,not_drafted,not_drafted,1,48.0,no_current_team,4.0,0.0,5.3,1.3,0.5,0.8,0.667,0.0,0.0,,0.5,0.8,0.667,0.667,0.3,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.3,1.0,0,9.7,0.0,not_listed,not_listed,MIL
Anthony Carter,Point Guard,Right,73,190,University of Hawaii,not_drafted,not_drafted,15,42.0,no_current_team,623.0,181.0,19.6,4.8,2.0,4.9,0.404,0.2,0.7,0.25,1.8,4.1,0.432,0.423,0.7,1.0,0.706,0.4,1.7,2.1,3.8,1.0,0.2,1.5,1.8,0,10.8,10.4,1352181.0,2011,TOR
Butch Carter,Small Forward and Shooting Guard,Right,77,180,Indiana University,1980,37,8,59.0,no_current_team,361.0,93.0,18.9,8.7,3.6,7.5,0.475,0.1,0.5,0.307,3.4,7.0,0.486,0.485,1.4,1.8,0.788,0.6,0.9,1.5,1.9,0.9,0.1,1.3,2.2,0,12.7,8.5,160000.0,1984,PHI
Fred Carter,Shooting Guard and Point Guard,Right,75,185,Mount St. Mary's University,1969,43,12,72.0,no_current_team,611.0,,30.0,15.2,6.4,15.1,0.425,,,,6.4,15.1,0.425,0.425,2.4,3.4,0.693,1.1,2.7,3.9,3.5,1.2,0.2,,2.8,0,14.0,14.8,not_listed,not_listed,MIL
George Carter,Small Forward,Right,76,210,St. Bonaventure University,1967,81,19,73.0,no_current_team,1.0,,5.0,3.0,1.0,2.0,0.5,,,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,,,0.0,1.0,,,,0.0,1,15.1,24.3,not_listed,not_listed,ABA
Howard Carter,Shooting Guard,Right,77,215,Louisiana State University,1983,15,2,56.0,no_current_team,66.0,5.0,11.4,5.3,2.3,5.1,0.44,0.1,0.3,0.227,2.2,4.8,0.454,0.447,0.7,0.9,0.774,0.6,0.8,1.3,1.1,0.3,0.1,0.8,1.3,0,10.3,0.0,not_listed,not_listed,DAL
Maurice Carter,Shooting Guard,Left,77,210,Louisiana State University,not_drafted,not_drafted,3,41.0,no_current_team,10.0,0.0,11.0,4.2,1.1,3.5,0.314,0.4,1.1,0.364,0.7,2.4,0.292,0.371,1.6,2.0,0.8,0.2,0.9,1.1,0.4,0.0,0.0,0.9,1.0,0,5.8,0.0,not_listed,not_listed,NOH
Reggie Carter,Shooting Guard,Right,75,175,St. John's University,1979,27,2,60.0,no_current_team,135.0,1.0,10.8,3.5,1.3,3.4,0.388,0.0,0.0,0.0,1.3,3.4,0.39,0.388,0.9,1.1,0.772,0.5,0.7,1.2,1.5,0.4,0.1,0.9,1.4,0,9.1,0.4,not_listed,not_listed,NYK
Ron Carter,Shooting Guard,Right,77,190,Virginia Military Institute,1978,26,2,61.0,no_current_team,59.0,,7.6,3.0,1.2,2.7,0.429,0.0,0.0,,1.2,2.7,0.429,0.429,0.6,1.0,0.623,0.4,0.6,1.1,0.6,0.3,0.2,0.8,1.2,0,8.0,-0.2,not_listed,not_listed,IND
Vince Carter,Shooting Guard and Small Forward,Right,78,220,University of North Carolina,1998,5,23,40.0,Sacramento Kings,1347.0,969.0,32.0,18.2,6.6,15.1,0.438,1.5,4.1,0.374,5.1,11.0,0.461,0.488,3.5,4.4,0.799,1.2,3.4,4.6,3.3,1.1,0.6,1.8,2.7,1,19.3,122.3,4264057.0,2016,MEM
Michael Carter-Williams,Point Guard,Right,78,190,Syracuse University,2013,11,6,26.0,Charlotte Hornets,235.0,189.0,30.0,13.0,4.9,12.1,0.407,0.5,2.0,0.252,4.4,10.0,0.439,0.429,2.7,3.8,0.696,1.0,4.2,5.2,5.4,1.5,0.6,3.1,2.7,0,14.0,3.5,3183526.0,2016,CHI
Bill Cartwright,Center,Right,85,245,University of San Francisco,1979,3,15,60.0,no_current_team,963.0,676.0,28.5,13.2,4.8,9.2,0.525,0.0,0.0,0.0,4.8,9.2,0.525,0.525,3.5,4.6,0.771,1.9,4.5,6.3,1.4,0.5,0.7,2.0,2.9,1,15.2,72.8,1502000.0,1994,SEA
Jay Carty,Power Forward,Right,80,220,Oregon State University,1962,46,1,76.0,no_current_team,28.0,,6.9,2.7,1.2,3.2,0.382,,,,1.2,3.2,0.382,0.382,0.3,0.4,0.727,,,2.1,0.4,,,,1.1,0,10.1,-0.1,not_listed,not_listed,LAL
Cornelius Cash,Power Forward,Right,80,215,Bowling Green State University,1975,24,1,65.0,no_current_team,6.0,,8.2,3.5,1.5,3.8,0.391,,,,1.5,3.8,0.391,0.391,0.5,1.0,0.5,1.3,1.3,2.7,0.2,0.3,0.2,,1.3,0,12.0,0.0,not_listed,not_listed,DET
Sam Cash,Power Forward,Right,80,230,"University of California, Riverside",1972,66,2,67.0,no_current_team,7.0,,7.4,2.9,0.6,2.6,0.222,0.0,0.0,,0.6,2.6,0.222,0.222,1.7,2.4,0.706,1.6,1.1,2.7,0.0,0.7,0.4,2.3,1.6,0,3.2,-0.1,not_listed,not_listed,ABA
Sam Cassell,Point Guard,Right,75,185,Florida State University,1993,24,22,48.0,no_current_team,993.0,690.0,30.0,15.7,5.7,12.6,0.454,0.7,2.0,0.331,5.1,10.6,0.477,0.48,3.6,4.2,0.861,0.6,2.6,3.2,6.0,1.1,0.2,2.4,2.8,1,19.5,87.5,1262275.0,2008,BOS
Omri Casspi,Power Forward and Small Forward,Right,81,225,no_college,2009,23,11,29.0,Golden State Warriors,499.0,138.0,21.4,8.2,3.0,6.8,0.443,0.9,2.6,0.367,2.1,4.3,0.488,0.512,1.3,1.9,0.675,0.9,3.2,4.1,1.2,0.6,0.2,1.1,1.6,0,12.7,16.1,4138414.0,2016,MIN
Harvey Catchings,Center and Power Forward,Right,81,218,Hardin-Simmons University,1974,42,13,66.0,no_current_team,725.0,59.0,18.2,3.2,1.3,2.9,0.435,0.0,0.0,0.0,1.3,2.9,0.436,0.435,0.7,1.0,0.647,1.7,3.3,5.0,0.8,0.4,1.7,1.1,2.8,0,9.6,21.2,262000.0,1984,LAC
Terry Catledge,Power Forward,Right,80,220,University of South Alabama,1985,21,8,54.0,no_current_team,515.0,379.0,26.3,12.7,5.0,10.3,0.485,0.0,0.1,0.094,5.0,10.3,0.487,0.485,2.7,4.1,0.654,2.9,3.6,6.4,0.9,0.6,0.2,1.7,2.5,0,14.1,20.9,1685700.0,1994,ORL
Sid Catlett,Small Forward,Right,78,230,University of Notre Dame,1971,55,1,69.0,no_current_team,9.0,,4.4,0.7,0.2,1.0,0.222,,,,0.2,1.0,0.222,0.222,0.2,1.0,0.222,,,0.4,0.1,,,,0.3,0,-1.4,-0.2,not_listed,not_listed,CIN
Kelvin Cato,Center and Power Forward,Right,83,255,Iowa State University,1997,15,12,43.0,no_current_team,541.0,248.0,19.6,5.5,2.1,4.1,0.507,0.0,0.0,0.077,2.1,4.1,0.509,0.507,1.3,2.0,0.644,1.6,3.7,5.3,0.5,0.5,1.3,0.8,2.5,0,14.4,28.6,1071225.0,2006,NYK
Bobby Cattage,Power Forward,Right,81,250,Auburn University,1981,165,2,59.0,no_current_team,78.0,1.0,6.7,3.1,1.1,2.8,0.404,0.0,0.1,0.143,1.1,2.7,0.412,0.406,0.8,1.1,0.765,0.5,0.9,1.4,0.1,0.2,0.0,0.4,1.0,0,10.2,0.3,70000.0,1985,NJN
Willie Cauley-Stein,Center,Right,84,240,University of Kentucky,2015,6,2,24.0,Sacramento Kings,141.0,60.0,20.1,7.6,3.2,5.8,0.544,0.0,0.0,0.0,3.2,5.8,0.547,0.544,1.3,2.0,0.659,1.6,3.3,4.9,0.8,0.7,0.8,0.8,2.1,0,15.8,6.8,3551160.0,2016,SAC
Duane Causwell,Center,Right,84,240,Temple University,1990,18,11,49.0,no_current_team,541.0,262.0,17.4,4.9,1.9,3.8,0.507,0.0,0.0,0.286,1.9,3.7,0.508,0.508,1.1,1.8,0.618,1.5,2.7,4.2,0.4,0.4,1.4,0.9,2.7,0,11.7,15.8,4000000.0,2000,MIA
Ron Cavenall,Center,Right,85,230,Texas Southern University,not_drafted,not_drafted,2,58.0,no_current_team,58.0,2.0,11.5,1.4,0.5,1.5,0.337,0.0,0.0,,0.5,1.5,0.337,0.337,0.4,0.8,0.545,0.9,2.0,2.9,0.3,0.2,0.8,0.8,2.2,0,4.2,-0.2,100000.0,1988,NJN
Cedric Ceballos,Small Forward,Right,78,190,"California State University, Fullerton",1990,48,17,48.0,no_current_team,609.0,313.0,24.2,14.3,5.6,11.2,0.5,0.4,1.2,0.309,5.2,10.0,0.524,0.518,2.7,3.6,0.753,2.1,3.3,5.3,1.2,0.7,0.3,1.6,1.8,1,19.3,40.4,3937500.0,2000,MIA
John Celestand,Point Guard,Right,76,178,Villanova University,1999,30,1,40.0,no_current_team,16.0,0.0,11.6,2.3,0.9,2.8,0.333,0.1,0.6,0.222,0.8,2.3,0.361,0.356,0.3,0.4,0.833,0.1,0.6,0.7,1.3,0.4,0.0,1.0,1.4,0,2.7,-0.1,5301875.0,1999,LAL
Al Cervi,Point Guard,Right,71,170,no_college,not_drafted,not_drafted,4,100.0,no_current_team,202.0,,12.4,7.9,2.0,5.6,0.359,,,,2.0,5.6,0.359,0.359,3.9,4.6,0.839,,,1.8,3.2,,,,3.3,0,21.0,21.9,not_listed,not_listed,SYR
Lionel Chalmers,Point Guard,Right,72,180,Xavier University,2004,33,1,37.0,no_current_team,36.0,0.0,12.0,3.1,1.2,3.5,0.336,0.3,1.4,0.245,0.8,2.1,0.395,0.384,0.4,0.7,0.625,0.1,0.8,0.9,1.4,0.4,0.0,0.7,0.8,0,6.5,-0.2,682050.0,2005,LAC
Mario Chalmers,Point Guard,Right,74,190,University of Kansas,2008,34,10,31.0,Memphis Grizzlies,580.0,390.0,27.3,9.0,3.0,7.2,0.421,1.2,3.4,0.358,1.8,3.9,0.477,0.505,1.7,2.2,0.786,0.3,2.1,2.5,3.8,1.5,0.2,1.9,2.7,0,12.9,31.7,4300000.0,2015,MEM
Bill Chamberlain,Small Forward,Right,78,188,University of North Carolina,1972,43,7,68.0,no_current_team,28.0,,13.1,5.5,2.0,4.6,0.438,,,,2.0,4.6,0.438,0.438,1.4,2.0,0.696,1.2,1.7,2.9,1.3,0.7,0.4,,2.6,0,10.6,0.5,not_listed,not_listed,PHO
Jerry Chambers,Small Forward,Right,77,185,University of Utah,1966,7,8,74.0,no_current_team,81.0,,18.1,9.1,3.6,8.3,0.435,0.0,0.1,0.2,3.6,8.2,0.438,0.436,1.8,2.2,0.831,1.5,2.1,3.6,1.1,0.3,0.1,1.0,2.2,0,13.2,5.2,not_listed,not_listed,ABA
Tom Chambers,Power Forward,Right,82,220,University of Utah,1981,8,16,58.0,no_current_team,1107.0,743.0,30.6,18.1,6.7,14.2,0.468,0.2,0.7,0.307,6.5,13.6,0.476,0.476,4.6,5.7,0.807,1.8,4.3,6.1,2.1,0.8,0.6,2.3,3.4,1,16.5,79.0,272250.0,1997,PHI
